iter	PairLogit	MAP:top=10
0	0.4695808886	0.2798962149
5	0.1064655351	0.8736965812
10	0.03913275058	0.9658119658
15	0.01455897256	0.9935897436
20	0.006518374241	1
25	0.003432121119	1
30	0.001903059868	1
35	0.001251564976	1
40	0.0008367081401	1
45	0.0006308564012	1
50	0.00049647538	1
55	0.0003952617962	1
60	0.0003265380859	1
65	0.0002763476609	1
70	0.0002351012467	1
75	0.0002033185662	1
80	0.0001812019783	1
85	0.0001597714127	1
90	0.0001401285413	1
95	0.0001273344661	1
100	0.0001166265041	1
