,ip,event_date,tcm_id,response
0,246877993,2019-01-30,tcm:526-209216,0
1,246877993,2019-01-30,tcm:526-261006,0
2,246877993,2019-01-30,tcm:526-346380,0
3,246877993,2019-01-30,tcm:526-655038,0
4,246877993,2019-01-30,tcm:526-782343,1
5,246877993,2019-01-30,tcm:526-209028,0
6,246877993,2019-02-27,tcm:526-10787,1
7,246877993,2019-02-27,tcm:526-551763,0
8,246877993,2019-02-27,tcm:526-52560,0
9,246877993,2019-02-27,tcm:526-492865,0
10,246877993,2019-02-27,tcm:526-418532,1
11,246877993,2019-02-27,tcm:526-276414,1
12,246877993,2019-02-27,tcm:526-249921,0
13,246877993,2019-02-27,tcm:526-228258,0
14,246877993,2019-02-27,tcm:526-187302,0
15,246877993,2019-05-30,tcm:526-164352,0
16,246877993,2019-05-30,tcm:526-12174,0
17,246877993,2019-05-30,tcm:526-116442,0
18,246877993,2019-05-30,tcm:526-93195,0
19,246877993,2019-05-30,tcm:526-149043,0
20,246877993,2019-05-30,tcm:526-653510,0
21,246877993,2019-05-30,tcm:526-208086,1
22,246877993,2019-05-30,tcm:526-688510,0
23,246877993,2019-05-30,tcm:526-16645,0
24,246877993,2019-04-25,tcm:526-679101,0
25,246877993,2019-04-25,tcm:526-782343,0
26,246877993,2019-04-25,tcm:526-93195,1
27,246877993,2019-04-25,tcm:526-12174,0
28,246877993,2019-04-25,tcm:526-208086,0
29,246877993,2019-04-25,tcm:526-656536,1
30,246877993,2019-07-24,tcm:526-244935,0
31,246877993,2019-07-24,tcm:526-40469,0
32,246877993,2019-07-24,tcm:526-653510,0
33,246877993,2019-07-24,tcm:526-13782,0
34,246877993,2019-07-24,tcm:526-12174,0
35,246877993,2019-07-24,tcm:526-695181,0
36,246877993,2019-07-24,tcm:526-149043,0
37,246877993,2019-07-24,tcm:526-16645,0
38,246877993,2019-07-24,tcm:526-208086,0
39,246877993,2019-07-24,tcm:526-239640,0
40,246877993,2019-06-26,tcm:526-244935,0
41,246877993,2019-06-26,tcm:526-208086,0
42,246877993,2019-06-26,tcm:526-191289,1
43,246877993,2019-06-26,tcm:526-682379,1
44,246877993,2019-06-26,tcm:526-653510,1
45,246877993,2019-06-26,tcm:526-149043,0
46,246877993,2019-06-26,tcm:526-12174,0
47,246877993,2019-06-26,tcm:526-712788,0
48,246877993,2019-10-30,tcm:526-12167,0
49,246877993,2019-10-30,tcm:526-116442,0
50,246877993,2019-10-30,tcm:526-259315,1
51,246877993,2019-10-30,tcm:526-231792,0
52,246877993,2019-10-30,tcm:526-208086,0
53,246877993,2019-10-30,tcm:526-153236,0
54,246877993,2019-10-30,tcm:526-12174,0
55,246877993,2019-09-26,tcm:526-258965,0
56,246877993,2019-09-26,tcm:526-12167,1
57,246877993,2019-09-26,tcm:526-116442,0
58,246877993,2019-09-26,tcm:526-10838,0
59,246877993,2019-09-26,tcm:526-10849,0
60,246877993,2019-09-26,tcm:526-22867,1
61,246877993,2019-09-26,tcm:526-208086,0
62,246877993,2019-09-26,tcm:526-707567,0
63,246877993,2019-09-26,tcm:526-707527,0
64,246877993,2019-08-28,tcm:526-13782,0
65,246877993,2019-08-28,tcm:526-199040,0
66,246877993,2019-08-28,tcm:526-208086,0
67,246877993,2019-08-28,tcm:526-22867,1
68,246877993,2019-08-28,tcm:526-239640,1
69,246877993,2019-08-28,tcm:526-704480,0
70,246877993,2019-08-28,tcm:526-695181,0
71,246877993,2019-08-28,tcm:526-10838,0
